Authors,Author(s)ID,Title,Year,Sourcetitle,Volume,Issue,Art.No.,Pagestart,Pageend,Pagecount,Citedby,DOI,Link,DocumentType,PublicationStage,AccessType,Source,EID
"Grifwold, H.D.",57190358443,THE AHMADIYA MOVEMENT,1912,The Muslim World,2,4,,373,379,,,10.1111/j.1478-1913.1912.tb00161.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84979315010&partnerID=40&md5=6367900a4996706bc56b1aed6d935acd,Article,Final,,Scopus,2-s2.0-84979315010
"Pennell, T.I.",57190355728,ISLAM IN AFGHANlSTAN,1912,The Muslim World,2,2,,133,143,,,10.1111/j.1478-1913.1912.tb00129.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84979309498&partnerID=40&md5=cc4be2e89c488438ac6df934a7458471,Article,Final,,Scopus,2-s2.0-84979309498
"Stephenson, J.",57151947100,II.—On some littoral Oligochæta of the Clyde,1912,Transactions of the Royal Society of Edinburgh,48,1,,31,65,,8,10.1017/S0080456800018755,https://www.scopus.com/inward/record.url?eid=2-s2.0-84974239009&partnerID=40&md5=f36a53d6479fb0642110fbc69201bdaf,Article,Final,,Scopus,2-s2.0-84974239009
"Stephenson, J.",57151947100,I.—The Nemertines of Millport and its Vicinity,1912,Transactions of the Royal Society of Edinburgh,48,1,,1,29,,12,10.1017/S0080456800018743,https://www.scopus.com/inward/record.url?eid=2-s2.0-84974224049&partnerID=40&md5=55b69c880c8255741986ea810c7e1d1b,Article,Final,,Scopus,2-s2.0-84974224049
"Stephenson, J.",57151947100,"XV.—On Branchiura sowerbyi Beddard, and on a new species of Limnodrilus with distinctive characters",1912,Transactions of the Royal Society of Edinburgh,48,2,,285,303,,4,10.1017/S0080456800002878,https://www.scopus.com/inward/record.url?eid=2-s2.0-84934017818&partnerID=40&md5=fc5db5fc3150e25bbbf97bb26036bfd6,Article,Final,,Scopus,2-s2.0-84934017818
"Stephenson, J.",57151947100,XIV.— Intestinal Respiration in Annelids; with Considerations on the Origin and Evolution of the Vascular System in that Group,1913,Transactions of the Royal Society of Edinburgh,49,3,,735,829,,3,10.1017/S0080456800013168,https://www.scopus.com/inward/record.url?eid=2-s2.0-84974265592&partnerID=40&md5=be5bac60404844e377f8f5232363596b,Article,Final,,Scopus,2-s2.0-84974265592
"Newell, A.G.",24753340100,The etiology of blackwater fever,1913,Transactions of the Royal Society of Tropical Medicine and Hygiene,6,5,,177,181,,,10.1016/S0035-9203(13)90130-9,https://www.scopus.com/inward/record.url?eid=2-s2.0-50749121626&partnerID=40&md5=fce08182bcfcdbed7d973f3b18d9d6e4,Article,Final,,Scopus,2-s2.0-50749121626
"Porter, R.R.M.",57189126261,Heart-block in a case of pneumonia,1914,British Medical Journal,1,2781,,858,,,,10.1136/bmj.1.2781.858,https://www.scopus.com/inward/record.url?eid=2-s2.0-84965247554&partnerID=40&md5=5d073dda7499d0fa0732fbedebef76ad,Article,Final,,Scopus,2-s2.0-84965247554
"Kashyap, S.R.",36520604700,MORPHOLOGICAL AND BIOLOGICAL NOTES ON NEW AND LITTLE?KNOWN WEST?HIMALAYAN LIVERWORTS. II.,1914,New Phytologist,13,9,,308,323,,6,10.1111/j.1469-8137.1914.tb05760.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-32044467226&partnerID=40&md5=83a3633f368dc69a74bc048958d1ab40,Article,Final,Open Access,Scopus,2-s2.0-32044467226
"Kashyap, S.R.",36520604700,MORPHOLOGICAL AND BIOLOGICAL NOTES ON NEW AND LITTLE KNOWN WEST?HIMALAYAN LIVERWORTS. I.,1914,New Phytologist,13,7-Jun,,206,226,,8,10.1111/j.1469-8137.1914.tb05751.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-1842545187&partnerID=40&md5=dcd6b0be3ef88fc3f662d09b9d1246e2,Article,Final,Open Access,Scopus,2-s2.0-1842545187
"Walter., H.A.",57190358833,IV. INDIA,1915,The Muslim World,5,1,,16,19,,,10.1111/j.1478-1913.1915.tb01418.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84979309554&partnerID=40&md5=63f7e2f9b49e4ec1873dfd6c2cc38c65,Article,Final,,Scopus,2-s2.0-84979309554
"Gilbert, L.E.",57189979817,The application of strong antiseptics to infected and non-infected wounds,1915,British Medical Journal,1,2839,,950,,,,10.1136/bmj.1.2839.950-a,https://www.scopus.com/inward/record.url?eid=2-s2.0-84975927558&partnerID=40&md5=e8b811adef9fcc6d7ee3f8a08c9fc25d,Letter,Final,,Scopus,2-s2.0-84975927558
"Kashyap, S.R.",36520604700,MORPHOLOGICAL AND BIOLOGICAL NOTES ON NEW AND LITTLE KNOWN WEST?HIMALAYAN LIVERWORTS. III,1915,New Phytologist,14,1,,1,18,,9,10.1111/j.1469-8137.1915.tb07159.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-0012643729&partnerID=40&md5=7691471abba55d0474d999f780a8d83e,Article,Final,Open Access,Scopus,2-s2.0-0012643729
