Paper,ResearchersIDs
Paper_1976_32,57199444673
Paper_1976_32,11539186100
Paper_1976_37,7409852190
Paper_1976_37,16502143000
Paper_1976_37,57206155784
Paper_1976_47,25622319200
Paper_1976_47,20734343700
Paper_1976_47,16509307900
Paper_1976_57,57203798384
Paper_1976_57,6507571059
Paper_1976_57,6601913208
Paper_1976_62,7003946517
Paper_1976_62,57206715683
Paper_1976_62,6601957340
Paper_1976_65,36153328200
Paper_1976_65,7006720227
Paper_1976_65,7004233562
Paper_1976_82,57194671864
Paper_1976_82,6603126342
Paper_1976_82,7003946517
Paper_1976_9,55122139600
Paper_1976_9,7003946517
Paper_1976_9,7006943773
Paper_1976_90,7102113459
Paper_1976_90,6602762898
Paper_1976_90,24551246300
Paper_1976_93,55122139600
Paper_1976_93,7003946517
Paper_1976_93,6507571059
Paper_1976_95,57153006100
Paper_1976_95,57209136547
Paper_1976_95,57152238100
Paper_1976_98,24517166400
Paper_1976_98,55410180500
Paper_1976_98,6506380380
Paper_1976_99,24552101200
Paper_1976_99,6603320287
Paper_1976_99,55726558300
Paper_1977_1,55426917500
Paper_1977_1,6603320287
Paper_1977_1,56330565600
Paper_1977_101,6602244042
Paper_1977_101,6503960103
Paper_1977_101,7102787070
Paper_1977_107,6506780699
Paper_1977_107,35615974800
Paper_1977_107,6506890601
Paper_1977_117,7201417203
Paper_1977_117,6603495078
Paper_1977_117,7103275514
Paper_1977_121,6603320287
Paper_1977_121,6503932871
Paper_1977_121,55426917500
Paper_1977_122,56951495100
Paper_1977_122,57168205700
Paper_1977_122,57190903341
Paper_1977_143,6508366698
Paper_1977_143,56249704000
Paper_1977_143,56772082800
Paper_1977_144,57199444470
Paper_1977_144,22975461500
Paper_1977_144,7004425018
Paper_1977_149,7102767936
Paper_1977_149,6507899580
Paper_1977_149,57192040345
Paper_1977_15,57189278588
Paper_1977_15,6506085164
